date	time	code	pop_total	pop_man_0_9	pop_man_10_14	pop_man_15_19	pop_man_20_24	pop_man_25_29	pop_man_30_34	pop_man_35_39	pop_man_40_44	pop_man_45_49	pop_man_50_54	pop_man_55_59	pop_man_60_64	pop_man_65_69	pop_man_70_over	pop_woman_0_9	pop_woman_10_14	pop_woman_15_19	pop_woman_20_24	pop_woman_25_29	pop_woman_30_34	pop_woman_35_39	pop_woman_40_44	pop_woman_45_49	pop_woman_50_54	pop_woman_55_59	pop_woman_60_64	pop_woman_65_69	pop_woman_70_over
20181001	09	11215710	42517.7095	746.8562	344.7025	1598.7385	5381.1714	3348.503	1716.4866	1321.5964	1177.0547	1216.8646	1175.371	1154.9589	768.5458	526.5099	1070.1734	366.6845	170.2875	1620.7723	5903.1695	2803.3771	1587.7213	1282.875	1004.355	1138.9573	970.5172	1130.3693	873.5736	619.3458	1498.1736
20181001	09	11215730	20972.6928	351.719	147.205	571.5704	2350.0889	1412.1895	888.8562	897.7401	666.8993	733.1072	619.7668	721.0711	486.8204	357.4613	641.1788	278.3029	136.3534	696.785	1875.0737	1045.0378	791.9404	765.8345	552.9436	704.3585	599.1416	697.9782	597.0989	358.6774	1027.4931
20181001	09	11215740	13830.1604	442.289	155.5877	156.61	384.0482	627.5282	557.764	625.7583	573.1312	590.9928	488.2742	596.3081	468.7297	307.7854	694.7186	256.3901	100.9322	133.7648	488.9742	666.2181	702.0605	669.3961	509.4667	599.9206	614.5569	652.9951	509.5895	323.8411	932.5302
20181001	09	11215750	15251.5343	529.9208	247.1173	339.4937	476.4432	617.3878	542.5305	611.8529	523.0709	613.1512	516.0122	509.8631	414.5899	348.612	633.615	348.5837	172.3337	371.1962	510.6863	681.1705	709.3059	715.7153	582.7818	671.263	718.0159	712.6813	663.1237	453.0036	1018.0117
20181001	09	11215760	14727.5231	489.5211	242.0619	220.3893	430.7244	542.1294	483.4372	486.8484	451.4498	532.9776	548.2297	604.8871	435.587	277.1347	744.1232	377.2799	183.0807	216.2919	479.233	510.6247	523.4617	689.8557	560.8361	622.718	728.3463	853.886	568.7092	469.0326	1454.6671
20181001	09	11215770	25820.6343	1361.7416	664.8869	1199.6562	620.5705	838.2119	663.9567	695.081	690.8259	760.2637	765.9023	787.0576	713.3708	519.9064	1186.7146	1322.3926	613.2239	1267.3148	702.2646	740.2388	862.163	945.626	883.5448	989.5603	968.5532	1042.4586	1061.1998	877.2804	2076.6668
20181001	09	11215780	18406.2036	472.8223	157.6074	378.7781	967.9095	894.9887	753.9722	755.6282	645.9194	663.2072	512.1194	523.7694	429.9263	348.816	759.3093	1040.0962	371.8773	734.0062	1029.8659	927.0702	837.0294	746.7952	591.9959	693.0206	617.8921	597.4295	617.2082	389.207	947.9357
20181001	09	11215810	40160.0158	2144.2789	1812.7154	1508.938	1052.5467	1041.643	959.5075	1087.517	1268.0478	1357.5432	1048.3815	1234.5408	944.8991	710.9295	1748.6518	2202.5977	1845.0151	1495.5196	1211.119	998.6956	1066.8483	1534.4689	1804.4364	2062.0553	1642.8625	1596.0703	1320.7383	897.6526	2561.7966
20181001	09	11215820	27714.0621	548.5707	334.5531	747.5729	1390.127	1242.8013	980.3543	1153.2208	915.8666	1100.2518	888.5985	1094.346	787.4556	557.3115	1136.3235	520.8436	301.2728	665.5571	1587.0907	1264.4981	1131.4161	1159.0804	951.6925	1122.4253	1142.8724	1293.6089	981.6999	646.9582	2067.6927
20181001	09	11215830	24763.8493	993.7916	464.91	557.7767	896.7978	934.3906	842.3567	1034.9533	950.1787	996.2518	850.0726	828.7197	851.9384	595.4993	1247.5928	1026.096	445.708	435.7944	767.6367	880.8456	984.0218	1136.1939	898.2751	953.2027	930.8831	1098.5337	965.9828	669.2483	1526.1978
20181001	09	11215840	19988.7027	916.0482	472.862	726.4142	792.2927	682.4329	548.271	566.9616	574.9035	587.3245	576.6896	593.5031	604.7178	401.4645	845.8023	1006.9223	535.2187	479.813	795.0493	692.4586	656.0478	778.1645	740.1679	829.6298	867.2654	925.6244	805.9697	472.9527	1513.7328
20181001	09	11215847	26947.8426	537.0654	225.3567	414.4035	1220.4582	1247.4565	1221.0092	1184.1287	1057.2179	1111.3385	955.5839	1048.8688	799.4914	628.2127	1347.7688	404.6878	197.901	443.9901	1609.0938	1421.2678	1149.0252	1159.2685	941.7212	1004.7551	999.6424	1216.8745	1080.7109	689.2081	1631.3378
20181001	09	11215850	21157.983	835.6588	389.1745	507.8935	689.6386	954.1119	785.2353	800.8833	807.6045	785.3633	604.6112	647.6859	519.1552	356.8328	980.2752	1131.5666	602.705	992.629	809.8224	835.3522	814.1815	829.5795	729.0715	708.3645	732.5221	790.6296	594.2827	523.1566	1399.9955
20181001	09	11215860	21433.6118	984.0194	543.9845	463.066	552.7171	603.6035	604.7796	721.4198	762.718	628.5477	658.0444	677.7997	509.83	462.7686	978.6842	1323.0763	768.0967	835.4291	528.2227	604.0075	698.3743	1042.9167	816.7425	969.3527	848.1828	931.2185	774.3309	671.4352	1470.2424
20181001	09	11215870	33279.4423	1270.3546	690.9356	646.7083	1449.16	1207.9523	1057.2344	1282.7489	1243.6069	1324.9375	1132.2378	1113.5251	956.2174	632.4834	1490.7325	1386.0555	724.4735	682.8454	1150.1031	1216.5093	1169.8591	1266.1803	1356.2255	1456.8575	1319.9607	1445.4125	1397.4024	879.9156	2328.8058
20181001	09	11230536	51225.0991	704.9665	323.3125	1303.2359	2203.1687	2330.9705	2049.0396	2245.231	2139.9969	2333.0943	2214.6817	2270.144	1951.39	1360.1059	2607.3952	744.6078	319.118	797.7589	2127.3111	2087.8761	1929.5432	2032.6104	1983.5138	2047.9754	1865.325	2137.2168	1905.086	1407.3156	3803.107
